Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Location-zTQuTGuHEy6TsqZFH.json	4341	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	7	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-alabama-consent-profile.json	1085	2	1	0	0	0	0	117	0	46	0	0	0	0	0	0	0	0	0	0	188	1827	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-alaska-consent-profile.json	1075	1	0	0	0	0	0	33	0	15	0	0	0	0	0	0	0	1	0	0	167	473	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-arizona-consent-profile.json	1076	1	0	0	0	0	0	25	0	9	0	0	0	0	0	0	0	0	0	0	185	509	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-arkansas-consent-profile.json	1094	1	1	0	0	0	0	36	0	8	0	0	0	0	0	0	0	1	0	0	156	380	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-base-consent-profile.json	806	2	0	0	0	0	0	105	0	8	0	0	0	0	0	0	0	0	0	0	151	344	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-california-consent-profile.json	1095	2	0	0	0	0	0	36	0	11	0	0	0	0	0	0	0	1	0	0	187	414	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-colorado-consent-profile.json	1091	1	1	0	0	0	0	22	0	9	0	0	0	0	0	0	0	0	0	0	261	357	0	0	0	3	1	0
fsh-generated/resources/StructureDefinition-connecticut-consent-profile.json	1103	1	0	0	0	0	0	21	0	8	0	0	0	0	0	0	0	1	0	0	302	440	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-delaware-consent-profile.json	1087	1	0	0	0	0	0	19	0	8	0	0	0	0	0	0	0	0	0	0	255	317	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-district-of-columbia-consent-profile.json	1137	2	0	0	0	0	0	40	0	23	0	0	0	0	0	0	0	1	0	0	242	295	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-florida-consent-profile.json	1092	1	0	0	0	0	0	21	0	8	0	0	0	0	0	0	0	0	0	0	247	373	0	0	0	3	0	0
